,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1135,2018-05-09,13.430328305053271,-13.348489003943659,28.605489466879384,13.430328305053271,13.430328305053271,-6.263280480051464,-6.263280480051464,-6.263280480051464,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.1830499229703776,-0.1830499229703776,-0.1830499229703776,-5.024179102460228,-5.024179102460228,-5.024179102460228,0.0,0.0,0.0,7.167047825001807
1136,2018-05-10,13.341039100297692,-13.221877718190523,28.30566854095473,13.341039100297692,13.341039100297692,-6.373332241399123,-6.373332241399123,-6.373332241399123,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5576679050877699,-0.5576679050877699,-0.5576679050877699,-4.759612881690495,-4.759612881690495,-4.759612881690495,0.0,0.0,0.0,6.967706858898569
1137,2018-05-11,13.251749895542094,-14.493602229581466,27.961846251675205,13.251749895542094,13.251749895542094,-6.052435294459341,-6.052435294459341,-6.052435294459341,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.45987169452768956,-0.45987169452768956,-0.45987169452768956,-4.536512145310794,-4.536512145310794,-4.536512145310794,0.0,0.0,0.0,7.199314601082753
1138,2018-05-12,13.162460690786496,-13.33612052060268,28.623365695985672,13.162460690786496,13.162460690786496,-5.442546045261023,-5.442546045261023,-5.442546045261023,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.026756625748075503,-0.026756625748075503,-0.026756625748075503,-4.359737964892089,-4.359737964892089,-4.359737964892089,0.0,0.0,0.0,7.719914645525473
1139,2018-05-13,13.073171486030915,-13.256306019200876,29.059294838537475,13.073171486030915,13.073171486030915,-5.801531302508624,-5.801531302508624,-5.801531302508624,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5122059971664905,-0.5122059971664905,-0.5122059971664905,-4.233273850721275,-4.233273850721275,-4.233273850721275,0.0,0.0,0.0,7.271640183522291
1140,2018-05-14,12.983882281275337,-11.313887087383101,31.23738949857404,12.983882281275337,12.983882281275337,-3.425245008755422,-3.425245008755422,-3.425245008755422,-1.056051454620859,-1.056051454620859,-1.056051454620859,1.7909195430080729,1.7909195430080729,1.7909195430080729,-4.160113097142635,-4.160113097142635,-4.160113097142635,0.0,0.0,0.0,9.558637272519915
1141,2018-05-15,12.894593076519739,-13.0657107251918,30.373552570404705,12.894593076519739,12.894593076519739,-5.249588256487924,-5.249588256487924,-5.249588256487924,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.0513673975069675,-0.0513673975069675,-0.0513673975069675,-4.1421694043600965,-4.1421694043600965,-4.1421694043600965,0.0,0.0,0.0,7.645004820031814
1142,2018-05-16,12.805303871764158,-14.711739633888417,28.059510431532374,12.805303871764158,12.805303871764158,-5.419314899920734,-5.419314899920734,-5.419314899920734,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.1830499229717403,-0.1830499229717403,-0.1830499229717403,-4.180213522328135,-4.180213522328135,-4.180213522328135,0.0,0.0,0.0,7.385988971843424
1143,2018-05-17,12.71601466700856,-14.328778237130571,27.88269774136323,12.71601466700856,12.71601466700856,-5.8875573297035775,-5.8875573297035775,-5.8875573297035775,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.5576679050922105,-0.5576679050922105,-0.5576679050922105,-4.273837969990509,-4.273837969990509,-4.273837969990509,0.0,0.0,0.0,6.828457337304982
1144,2018-05-18,12.626725462252981,-14.512434563514791,27.4066151957231,12.626725462252981,12.626725462252981,-5.937374276502589,-5.937374276502589,-5.937374276502589,-1.056051454620859,-1.056051454620859,-1.056051454620859,-0.459871694528896,-0.459871694528896,-0.459871694528896,-4.421451127352834,-4.421451127352834,-4.421451127352834,0.0,0.0,0.0,6.689351185750392
